Mülakat Planlanma Tarihi;Toplam Gelmesi Planlanan Kişi Sayısı;Planlandığı Gün Gelen Kişi Sayısı
25.10.2022;90;0
26.10.2022;120;0
27.10.2022;120;0
31.10.2022;90;61
1.11.2022;90;77
2.11.2022;54;43
3.11.2022;90;74
4.11.2022;90;76
7.11.2022;90;72
8.11.2022;90;76
9.11.2022;89;71
10.11.2022;90;82
11.11.2022;80;62
14.11.2022;81;68
15.11.2022;80;67
16.11.2022;88;70
17.11.2022;85;74
18.11.2022;84;68
21.11.2022;86;69
22.11.2022;85;71
23.11.2022;85;71
24.11.2022;85;70
25.11.2022;85;69
28.11.2022;89;75
29.11.2022;89;73
30.11.2022;90;77
1.12.2022;90;81
2.12.2022;124;77
5.12.2022;119;96
6.12.2022;120;95
7.12.2022;120;93
8.12.2022;90;78
9.12.2022;120;99
12.12.2022;120;100
14.12.2022;123;99
15.12.2022;238;96
16.12.2022;120;94
19.12.2022;121;92
20.12.2022;120;84
21.12.2022;120;100
22.12.2022;120;94
23.12.2022;120;93
26.12.2022;120;92
27.12.2022;120;102
28.12.2022;120;86
29.12.2022;1;0
30.12.2022;2;0
2.01.2023;98;78
3.01.2023;95;76
4.01.2023;95;80
5.01.2023;95;73
6.01.2023;95;81
9.01.2023;95;76
10.01.2023;95;75
11.01.2023;95;74
12.01.2023;95;70
13.01.2023;95;72
16.01.2023;99;82
17.01.2023;95;76
18.01.2023;97;74
19.01.2023;97;75
20.01.2023;98;75
30.01.2023;120;91
31.01.2023;121;94
1.02.2023;121;87
2.02.2023;120;94
3.02.2023;120;94
6.02.2023;95;59
7.02.2023;95;38
8.02.2023;96;38
9.02.2023;61;38
10.02.2023;95;67
13.02.2023;95;63
14.02.2023;95;56
15.02.2023;95;62
16.02.2023;110;78
17.02.2023;110;77
20.02.2023;111;80
21.02.2023;110;69
22.02.2023;91;60
23.02.2023;20;13
24.02.2023;112;85
27.02.2023;100;72
28.02.2023;102;72
1.03.2023;100;67
2.03.2023;100;71
3.03.2023;100;77
6.03.2023;111;82
7.03.2023;110;76
8.03.2023;100;71
9.03.2023;135;79
10.03.2023;100;74
13.03.2023;100;66
14.03.2023;100;61
15.03.2023;96;63
16.03.2023;105;74
17.03.2023;71;49
14.06.2023;1;1
4.09.2023;107;36
5.09.2023;110;77
6.09.2023;110;80
7.09.2023;110;77
8.09.2023;110;82
11.09.2023;125;100
12.09.2023;125;84
13.09.2023;124;87
14.09.2023;124;90
15.09.2023;125;87
18.09.2023;60;46
19.09.2023;63;43
20.09.2023;60;40
21.09.2023;125;88
22.09.2023;125;93
25.09.2023;128;92
26.09.2023;125;85
27.09.2023;125;84
28.09.2023;125;83
29.09.2023;125;92
2.10.2023;125;82
3.10.2023;125;83
4.10.2023;125;76
9.10.2023;125;83
10.10.2023;125;90
11.10.2023;125;81
12.10.2023;125;75
13.10.2023;125;83
16.10.2023;150;93
17.10.2023;150;93
18.10.2023;150;94
19.10.2023;150;86
20.10.2023;150;89
23.10.2023;154;95
24.10.2023;150;97
25.10.2023;151;90
26.10.2023;150;93
27.10.2023;150;89
30.10.2023;140;88
31.10.2023;139;76
1.11.2023;141;76
2.11.2023;140;81
3.11.2023;140;86
6.11.2023;140;84
7.11.2023;140;80
8.11.2023;140;79
9.11.2023;140;76
10.11.2023;141;73
20.11.2023;155;90
21.11.2023;155;88
22.11.2023;155;78
23.11.2023;156;83
24.11.2023;155;85
27.11.2023;156;96
28.11.2023;156;74
29.11.2023;155;77
30.11.2023;155;77
1.12.2023;155;84
4.12.2023;155;89
5.12.2023;155;97
6.12.2023;154;89
7.12.2023;155;75
8.12.2023;155;85
11.12.2023;155;80
12.12.2023;155;80
13.12.2023;155;91
14.12.2023;156;84
15.12.2023;155;87
18.12.2023;155;67
19.12.2023;155;77
20.12.2023;155;73
21.12.2023;155;82
22.12.2023;155;84
25.12.2023;155;79
26.12.2023;155;87
27.12.2023;155;66
28.12.2023;155;77
29.12.2023;155;82
2.01.2024;50;17
3.01.2024;50;24
4.01.2024;50;20
5.01.2024;50;23
8.01.2024;155;73
9.01.2024;155;67
10.01.2024;155;68
11.01.2024;154;80
12.01.2024;155;82
15.01.2024;60;22
16.01.2024;60;34
17.01.2024;60;30
18.01.2024;60;26
19.01.2024;60;31
29.01.2024;60;35
30.01.2024;60;28
31.01.2024;60;25
1.02.2024;60;28
2.02.2024;65;30
5.02.2024;127;74
6.02.2024;127;62
7.02.2024;127;67
8.02.2024;126;60
9.02.2024;125;58
12.02.2024;57;30
13.02.2024;57;28
14.02.2024;57;23
15.02.2024;57;29
16.02.2024;58;27
21.02.2024;2;0
8.03.2024;1;1
29.07.2024;80;57
30.07.2024;80;60
31.07.2024;80;60
1.08.2024;80;55
2.08.2024;80;54
5.08.2024;80;51
6.08.2024;80;59
7.08.2024;80;60
8.08.2024;79;57
9.08.2024;80;58
12.08.2024;80;56
13.08.2024;80;58
14.08.2024;81;53
15.08.2024;80;61
16.08.2024;80;55
19.08.2024;79;50
20.08.2024;80;56
21.08.2024;80;59
22.08.2024;80;50
23.08.2024;80;58
26.08.2024;85;59
27.08.2024;85;58
28.08.2024;85;57
29.08.2024;85;57
2.09.2024;85;54
3.09.2024;85;50
4.09.2024;85;54
5.09.2024;85;39
6.09.2024;85;48
9.09.2024;85;55
10.09.2024;85;60
11.09.2024;85;59
12.09.2024;85;56
13.09.2024;85;59
16.09.2024;96;58
17.09.2024;95;65
18.09.2024;95;66
19.09.2024;95;63
23.09.2024;95;66
24.09.2024;95;63
25.09.2024;95;64
26.09.2024;95;73
30.09.2024;95;56
1.10.2024;96;56
2.10.2024;95;63
3.10.2024;94;52
7.10.2024;95;60
8.10.2024;95;66
9.10.2024;95;64
10.10.2024;95;66
11.10.2024;96;65
14.10.2024;95;63
15.10.2024;95;74
16.10.2024;95;69
17.10.2024;95;61
18.10.2024;95;77
21.10.2024;95;65
22.10.2024;95;63
23.10.2024;95;59
24.10.2024;95;66
25.10.2024;95;66
30.10.2024;100;67
31.10.2024;100;64
1.11.2024;100;72
4.11.2024;95;64
5.11.2024;95;42
6.11.2024;67;46
7.11.2024;96;63
8.11.2024;96;52
13.11.2024;100;74
14.11.2024;103;75
15.11.2024;100;58
18.11.2024;100;75
19.11.2024;100;68
20.11.2024;100;66
21.11.2024;100;72
22.11.2024;100;72
25.11.2024;100;64
26.11.2024;100;69
27.11.2024;98;74
29.11.2024;100;64
2.12.2024;100;70
3.12.2024;101;63
4.12.2024;100;65
5.12.2024;100;51
6.12.2024;100;64
9.12.2024;100;67
10.12.2024;100;62
11.12.2024;100;65
12.12.2024;100;68
13.12.2024;100;65
16.12.2024;100;64
17.12.2024;99;59
18.12.2024;100;60
19.12.2024;101;73
20.12.2024;100;62
23.12.2024;100;52
24.12.2024;100;58
25.12.2024;100;56
26.12.2024;100;62
27.12.2024;90;56
31.12.2024;100;54
2.01.2025;100;49
6.01.2025;102;59
7.01.2025;100;67
8.01.2025;92;55
9.01.2025;95;54
10.01.2025;93;50
13.01.2025;100;60
14.01.2025;100;63
15.01.2025;100;58
16.01.2025;100;52
17.01.2025;90;47
27.01.2025;101;57
28.01.2025;101;67
29.01.2025;100;53
30.01.2025;100;59
31.01.2025;90;54
3.02.2025;100;63
4.02.2025;100;56
5.02.2025;100;59
6.02.2025;100;75
10.02.2025;100;61
11.02.2025;100;64
12.02.2025;100;0
13.02.2025;100;71
14.02.2025;90;52
17.02.2025;100;62
18.02.2025;100;66
19.02.2025;100;50
20.02.2025;100;0
21.02.2025;90;0
25.02.2025;100;67
26.02.2025;100;34
27.02.2025;100;70
28.02.2025;90;59
3.03.2025;50;30
4.03.2025;5;3
5.03.2025;20;12
6.03.2025;109;58
10.03.2025;110;72
11.03.2025;111;77
12.03.2025;110;74
13.03.2025;110;80
14.03.2025;100;64
17.03.2025;111;79
18.03.2025;115;75
19.03.2025;130;78
